"","Cow","QTR","FARMID","Enrolldate","Tx","Age","Parity","Calv1Date","MYDO","DIMDO","SCCDO","PeakSCC","CM1","Calv2Date","DPlength","DOCult1","DOCult2","PCCult1","PCCult2","PCSampDIM","IMIDO","IMIPC","Cure","NewIMI"
"1",6.29341927884648,"LF",4,2018-08-13,"Lockout",57.8947368421053,"3",2017-10-25,29.937072,292,5.04985600724954,5.35185813347607,"0",2018-10-09,57,"No Growth",NA,"No Growth",NA,1,0,0,NA,0
"2",6.29341927884648,"LR",4,2018-08-13,"Lockout",57.8947368421053,"3",2017-10-25,29.937072,292,5.04985600724954,5.35185813347607,"0",2018-10-09,57,"Bacillus sp.",NA,"No Growth",NA,1,1,0,1,0
"3",6.29341927884648,"RF",4,2018-08-13,"Lockout",57.8947368421053,"3",2017-10-25,29.937072,292,5.04985600724954,5.35185813347607,"0",2018-10-09,57,"Staphylococcus sciuri",NA,"No Growth",NA,1,1,0,1,0
"4",6.29341927884648,"RR",4,2018-08-13,"Lockout",57.8947368421053,"3",2017-10-25,29.937072,292,5.04985600724954,5.35185813347607,"0",2018-10-09,57,"No Growth",NA,"Bacillus sp.",NA,1,0,1,NA,1
"5",6.3297209055227,"LF",5,2018-08-22,"Orbeseal",76.1513157894737,"4",2017-10-04,24.493968,322,4.43081679884331,5.27299955856375,"1",2018-10-26,65,"No Growth",NA,"No Growth",NA,5,0,0,NA,0
"6",6.3297209055227,"LR",5,2018-08-22,"Orbeseal",76.1513157894737,"4",2017-10-04,24.493968,322,4.43081679884331,5.27299955856375,"1",2018-10-26,65,"No Growth",NA,"No Growth",NA,5,0,0,NA,0
"7",6.3297209055227,"RF",5,2018-08-22,"Orbeseal",76.1513157894737,"4",2017-10-04,24.493968,322,4.43081679884331,5.27299955856375,"1",2018-10-26,65,"No Growth",NA,"No Growth",NA,5,0,0,NA,0
"8",6.3297209055227,"RR",5,2018-08-22,"Orbeseal",76.1513157894737,"4",2017-10-04,24.493968,322,4.43081679884331,5.27299955856375,"1",2018-10-26,65,"No Growth",NA,"No Growth",NA,5,0,0,NA,0
"9",6.33682573114644,"LF",5,2018-08-22,"Lockout",31.2828947368421,"1",2017-11-04,19.958048,291,4.46590811865458,5.03695260241363,"0",2018-10-06,45,"No Growth",NA,"No Growth",NA,4,0,0,NA,0
"10",6.33682573114644,"LR",5,2018-08-22,"Lockout",31.2828947368421,"1",2017-11-04,19.958048,291,4.46590811865458,5.03695260241363,"0",2018-10-06,45,"No Growth",NA,"No Growth",NA,4,0,0,NA,0
"11",6.33682573114644,"RF",5,2018-08-22,"Lockout",31.2828947368421,"1",2017-11-04,19.958048,291,4.46590811865458,5.03695260241363,"0",2018-10-06,45,"Staphylococcus chromogenes",NA,"No Growth",NA,4,1,0,1,0
"12",6.33682573114644,"RR",5,2018-08-22,"Lockout",31.2828947368421,"1",2017-11-04,19.958048,291,4.46590811865458,5.03695260241363,"0",2018-10-06,45,"No Growth",NA,"No Growth",NA,4,0,0,NA,0
"13",6.4723462945009,"LF",5,2018-08-22,"Orbeseal",44.2105263157895,"2",2017-10-29,15.422128,297,4.69134788222914,7.61579107203583,"1",2018-10-20,59,"No Growth",NA,"No Growth",NA,4,0,0,NA,0
"14",6.4723462945009,"LR",5,2018-08-22,"Orbeseal",44.2105263157895,"2",2017-10-29,15.422128,297,4.69134788222914,7.61579107203583,"1",2018-10-20,59,"Staphylococcus chromogenes",NA,"No Growth",NA,4,1,0,1,0
"15",6.4723462945009,"RF",5,2018-08-22,"Orbeseal",44.2105263157895,"2",2017-10-29,15.422128,297,4.69134788222914,7.61579107203583,"1",2018-10-20,59,"No Growth",NA,"Bacillus sp.",NA,4,0,1,NA,1
"16",6.4723462945009,"RR",5,2018-08-22,"Orbeseal",44.2105263157895,"2",2017-10-29,15.422128,297,4.69134788222914,7.61579107203583,"1",2018-10-20,59,"Staphylococcus chromogenes",NA,"No Growth",NA,4,1,0,1,0
"17",6.49526555593701,"LF",5,2018-08-15,"Lockout",46.8092105263158,"2",2017-08-16,23.586784,364,4.06044301054642,4.48863636973214,"0",2018-10-01,47,"No Growth",NA,"No Growth",NA,9,0,0,NA,0
"18",6.49526555593701,"LR",5,2018-08-15,"Lockout",46.8092105263158,"2",2017-08-16,23.586784,364,4.06044301054642,4.48863636973214,"0",2018-10-01,47,"No Growth",NA,"No Growth",NA,9,0,0,NA,0
"19",6.49526555593701,"RF",5,2018-08-15,"Lockout",46.8092105263158,"2",2017-08-16,23.586784,364,4.06044301054642,4.48863636973214,"0",2018-10-01,47,"No Growth",NA,NA,NA,9,0,NA,NA,NA
"20",6.49526555593701,"RR",5,2018-08-15,"Lockout",46.8092105263158,"2",2017-08-16,23.586784,364,4.06044301054642,4.48863636973214,"0",2018-10-01,47,"No Growth",NA,"No Growth",NA,9,0,0,NA,0
"21",6.49677499018586,"LF",5,2018-08-15,"Orbeseal",48.0921052631579,"2",2017-08-10,22.6796,370,5.12989871492307,5.56452040732269,"0",2018-10-02,48,"No Growth",NA,"Bacillus sp.",NA,8,0,1,NA,1
"22",6.49677499018586,"LR",5,2018-08-15,"Orbeseal",48.0921052631579,"2",2017-08-10,22.6796,370,5.12989871492307,5.56452040732269,"0",2018-10-02,48,"No Growth",NA,"No Growth",NA,8,0,0,NA,0
"23",6.49677499018586,"RF",5,2018-08-15,"Orbeseal",48.0921052631579,"2",2017-08-10,22.6796,370,5.12989871492307,5.56452040732269,"0",2018-10-02,48,"No Growth",NA,"Bacillus sp.",NA,8,0,1,NA,1
