"","Cow","FARMID","Enrolldate","Tx","Age","Parity","Calv1Date","MYDO","DIMDO","SCCDO","PeakSCC","CM1","Calv2Date","DPlength","SCC","MY","TestDIMcat20"
"1",6.29341927884648,4,2018-08-13,"1",57.8947368421053,"3",2017-10-25,29.937072,292,5.04985600724954,5.35185813347607,"0",2018-10-09,57,3.63758615972639,49.441528,"0-20"
"2",6.29341927884648,4,2018-08-13,"1",57.8947368421053,"3",2017-10-25,29.937072,292,5.04985600724954,5.35185813347607,"0",2018-10-09,57,4.17438726989564,69.853168,"41-60"
"3",6.29341927884648,4,2018-08-13,"1",57.8947368421053,"3",2017-10-25,29.937072,292,5.04985600724954,5.35185813347607,"0",2018-10-09,57,2.39789527279837,68.492392,"61-80"
"4",6.3297209055227,5,2018-08-22,"0",76.1513157894737,"4",2017-10-04,24.493968,322,4.43081679884331,5.27299955856375,"1",2018-10-26,65,2.77258872223978,57.606184,"21-40"
"5",6.3297209055227,5,2018-08-22,"0",76.1513157894737,"4",2017-10-04,24.493968,322,4.43081679884331,5.27299955856375,"1",2018-10-26,65,3.25809653802148,42.637648,"0-20"
"6",6.3297209055227,5,2018-08-22,"0",76.1513157894737,"4",2017-10-04,24.493968,322,4.43081679884331,5.27299955856375,"1",2018-10-26,65,3.25809653802148,16.329312,"61-80"
"7",6.33682573114644,5,2018-08-22,"1",31.2828947368421,"1",2017-11-04,19.958048,291,4.46590811865458,5.03695260241363,"0",2018-10-06,45,2.83321334405622,42.637648,"21-40"
"8",6.33682573114644,5,2018-08-22,"1",31.2828947368421,"1",2017-11-04,19.958048,291,4.46590811865458,5.03695260241363,"0",2018-10-06,45,2.89037175789616,54.43104,"81-100"
"9",6.33682573114644,5,2018-08-22,"1",31.2828947368421,"1",2017-11-04,19.958048,291,4.46590811865458,5.03695260241363,"0",2018-10-06,45,2.77258872223978,49.441528,"41-60"
"10",6.4723462945009,5,2018-08-22,"0",44.2105263157895,"2",2017-10-29,15.422128,297,4.69134788222914,7.61579107203583,"1",2018-10-20,59,3.80666248977032,49.441528,"41-60"
"11",6.4723462945009,5,2018-08-22,"0",44.2105263157895,"2",2017-10-29,15.422128,297,4.69134788222914,7.61579107203583,"1",2018-10-20,59,6.20657592672493,41.730464,"61-80"
"12",6.4723462945009,5,2018-08-22,"0",44.2105263157895,"2",2017-10-29,15.422128,297,4.69134788222914,7.61579107203583,"1",2018-10-20,59,4.84418708645859,48.987936,"0-20"
"13",6.49526555593701,5,2018-08-15,"1",46.8092105263158,"2",2017-08-16,23.586784,364,4.06044301054642,4.48863636973214,"0",2018-10-01,47,4.47733681447821,63.50288,"81-100"
"14",6.49526555593701,5,2018-08-15,"1",46.8092105263158,"2",2017-08-16,23.586784,364,4.06044301054642,4.48863636973214,"0",2018-10-01,47,2.56494935746154,63.50288,"21-40"
"15",6.49526555593701,5,2018-08-15,"1",46.8092105263158,"2",2017-08-16,23.586784,364,4.06044301054642,4.48863636973214,"0",2018-10-01,47,6.07534603108868,61.23492,"61-80"
"16",6.49677499018586,5,2018-08-15,"0",48.0921052631579,"2",2017-08-10,22.6796,370,5.12989871492307,5.56452040732269,"0",2018-10-02,48,1.79175946922805,52.616672,"81-100"
"17",6.49677499018586,5,2018-08-15,"0",48.0921052631579,"2",2017-08-10,22.6796,370,5.12989871492307,5.56452040732269,"0",2018-10-02,48,2.484906649788,53.070264,"61-80"
"18",6.49677499018586,5,2018-08-15,"0",48.0921052631579,"2",2017-08-10,22.6796,370,5.12989871492307,5.56452040732269,"0",2018-10-02,48,1.94591014905531,56.245408,"21-40"
"19",6.51323011091231,5,2018-08-22,"1",61.7105263157895,"3",2017-10-27,47.173568,299,5.36597601502185,6.78671695060508,"0",2018-10-24,63,4.34380542185368,65.77084,"21-40"
"20",6.51323011091231,5,2018-08-22,"1",61.7105263157895,"3",2017-10-27,47.173568,299,5.36597601502185,6.78671695060508,"0",2018-10-24,63,3.8286413964891,48.987936,"0-20"
"21",6.51323011091231,5,2018-08-22,"1",61.7105263157895,"3",2017-10-27,47.173568,299,5.36597601502185,6.78671695060508,"0",2018-10-24,63,4.91265488573605,63.50288,"61-80"
"22",6.55393340402581,5,2018-08-15,"1",20.5263157894737,"1",2017-10-21,22.6796,298,4.81218435537242,8.49371983523059,"0",2018-10-08,54,9.21034037197618,15.422128,"0-20"
"23",6.56807791141198,5,2018-08-15,"1",42.3026315789474,"2",2017-10-30,24.493968,289,6.0282785202307,6.13122648948314,"0",2018-10-07,53,5.13579843705026,46.266384,"81-100"
"24",6.56807791141198,5,2018-08-15,"1",42.3026315789474,"2",2017-10-30,24.493968,289,6.0282785202307,6.13122648948314,"0",2018-10-07,53,2.83321334405622,50.802304,"21-40"
"25",6.56807791141198,5,2018-08-15,"1",42.3026315789474,"2",2017-10-30,24.493968,289,6.0282785202307,6.13122648948314,"0",2018-10-07,53,4.87519732320115,47.62716,"41-60"
"26",6.62671774924902,5,2018-08-22,"1",85.0657894736842,"4",2017-09-23,28.122704,333,5.60947179518496,8.58839695042257,"1",2018-10-25,64,4.36944785246702,64.863656,"21-40"
"27",6.62671774924902,5,2018-08-22,"1",85.0657894736842,"4",2017-09-23,28.122704,333,5.60947179518496,8.58839695042257,"1",2018-10-25,64,8.53719187792293,39.916096,"61-80"
"28",6.62671774924902,5,2018-08-22,"1",85.0657894736842,"4",2017-09-23,28.122704,333,5.60947179518496,8.58839695042257,"1",2018-10-25,64,4.9416424226093,50.802304,"0-20"
