"","Cow","FARMID","Enrolldate","Tx","Age","Parity","Calv1Date","MYDO","DIMDO","SCCDO","PeakSCC","CM1","Calv2Date","DPlength","RemDP","Rem2","Rem2TAR","CM2","CM2TAR"
"32",7.0343879299155,5,2018-08-15,"0",31.5131578947368,"1",2017-10-22,22.6796,297,4.86753445045558,4.969813299576,"0",2018-10-11,57,0,0,100,0,100
"33",7.06219163228656,5,2018-08-22,"0",32.7631578947368,"1",2017-11-05,28.122704,290,2.77258872223978,6.13988455222626,"0",2018-10-22,61,0,0,100,0,100
"34",7.06817200038804,5,2018-08-15,"1",21.5789473684211,"1",2017-07-05,19.050864,406,2.83321334405622,5.25227342804663,"0",2018-09-27,43,0,0,100,0,100
"35",7.12125245324454,5,2018-08-15,"1",40.1973684210526,"1",2017-07-06,29.937072,405,3.80666248977032,6.48004456192665,"0",2018-10-09,55,0,0,100,0,100
"36",7.12447826249342,4,2018-08-20,"0",82.5,"4",2017-09-29,29.937072,325,4.53259949315326,6.53958595561767,"0",2018-10-11,52,0,0,100,1,43
"37",7.12689080889881,5,2018-08-22,"0",55.921052631579,"3",2017-11-10,25.401152,285,5.01727983681492,5.56068163101553,"0",2018-10-17,56,0,0,100,0,100
"38",7.15383380157884,5,2018-08-15,"0",71.7434210526316,"4",2017-09-21,19.050864,328,5.12989871492307,5.5834963087817,"0",2018-09-27,43,0,1,92,1,61
"39",7.17625453201714,5,2018-08-15,"0",36.9736842105263,"1",2017-10-24,37.194544,295,3.63758615972639,6.20859002609663,"0",2018-10-11,57,0,0,100,0,100
"40",7.18765716411496,5,2018-08-15,"0",65.1315789473684,"3",2017-07-25,20.865232,386,4.72738781871234,6.19031540585315,"0",2018-10-03,49,0,0,100,0,100
"41",7.19893124068817,5,2018-08-22,"0",33.3223684210526,"1",2017-09-19,22.6796,337,5.3890717298165,5.3890717298165,"0",2018-10-15,54,0,0,100,0,100
"42",7.20563517641036,4,2018-08-13,"0",58.4868421052632,"3",2017-08-17,16.329312,361,6.94697599213542,7.40367029001237,"0",2018-10-07,55,0,0,100,0,100
"43",7.21229446850034,5,2018-08-22,"0",29.9671052631579,"1",2017-11-05,24.493968,290,3.98898404656427,5.24174701505964,"0",2018-10-26,65,0,0,100,0,100
"44",7.22329567956231,5,2018-08-22,"1",77.7960526315789,"4",2017-09-13,19.958048,343,6.14418563412565,8.69165057315339,"1",2018-10-25,64,0,0,100,0,100
